Name,Date,Year,Band,Venue,City,Link
"July 13th – Croatian Club, Wickham w/Boris Yeltsin and Lenin Lennon","July 13, 2011",2011,I Am The Agent,Croatian Club,Newcastle,
July 8th – Hamilton Station Hotel w/Green Thief,"June 8, 2011",2011,I Am The Agent,Hamilton Station Hotel,Newcastle,
"April 8th – World Bar (Upstairs), w/Bang Bang Boss Kelly","April 8, 2011",2011,I Am The Agent,World Bar,Sydney,
"April 9th – Lass O’Gowrie, Newcastle w/Bats & Battleships","April 9, 2011",2011,I Am The Agent,The Lass O'Gowrie Hotel,Newcastle,
"March 19th – CBD Hotel, Newcastle","March 19, 2011",2011,I Am The Agent,CBD Hotel,Newcastle,
"July 22th – Great Northern Hotel, Newcastle w/Post Paint and Nikko","July 22, 2011",2011,I Am The Agent,Great Northern Hotel,Newcastle,
"Sep 17th – Lass O’Gowrie, Newcastle","September 17, 2011",2011,I Am The Agent,The Lass O'Gowrie Hotel,Newcastle,
"August 5th – Northern Star Hotel, Hamilton w/Sky Squadron & The Chestnuts","August 5, 2011",2011,I Am The Agent,Hamilton Station Hotel,Newcastle,
"Dec ?? – Lass O’Gowrie, Newcastle","December 1, 2011",2011,I Am The Agent,The Lass O'Gowrie Hotel,Newcastle,
"August 10th – Animal House Festival, w/The Owls, Post Paint, Run Squirrel","August 10, 2011",2011,I Am The Agent,The Lass O'Gowrie Hotel,Newcastle,https://www.facebook.com/pg/AnimalHouseFestival
"August 13th – Bacardi Band Search (Semi Final), vs Cota & Tortoise Head Platoon","March 6, 2010",2010,I Am The Agent,Cambridge Hotel,Newcastle,
"June 6th – The Cambridge Hotel, Newcastle","March 6, 2010",2010,I Am The Agent,Cambridge Hotel,Newcastle,
"Nov 20th – Capsized! Festival, Newcastle w/Corey Price, Run Squirrel, Bats & Battleships, Post Paint, The Owls","March 6, 2010",2010,I Am The Agent,The Lass O'Gowrie Hotel,Newcastle,
"June 16th – The Loft Youth Venue, Newcastle – Ninja Radio Session","March 6, 2010",2010,I Am The Agent,Loft Youth Venue,Newcastle,
"Nov 12th – The Lass O’Gowrie, Newcastle w/Peabody & Sister Jane","March 6, 2010",2010,I Am The Agent,The Lass O'Gowrie Hotel,Newcastle,
"February 25th – The Annandale Hotel, Sydney","March 6, 2010",2010,I Am The Agent,Annandale Hotel,Sydney,
"Sep 18th – Cambridge Hotel, Newcastle w/Strangers & Brad Vincent","March 6, 2010",2010,I Am The Agent,Cambridge Hotel,Newcastle,
"July ?? – Hamilton Station Hotel, Newcastle","July 1, 2010",2010,I Am The Agent,Hamilton Station Hotel,Newcastle,
"Sep 4th – Lass O’Gowrie, Newcastle","March 6, 2010",2010,I Am The Agent,The Lass O'Gowrie Hotel,Newcastle,
"August 26th – GeeWhizz, Gosfrod w/Santafae","March 6, 2010",2010,I Am The Agent,Geewhizz,Central Coast,
"Sep 25th – SPRING SPRUNG @ Newtown RSL, Newtown w/Found at Sea, Valar, The Cerulean Set","March 6, 2010",2010,I Am The Agent,Newtown RSL,Sydney,
"Nov 4th – The Queens Wharf Brewery, Newcastle (Heaps Weird Solo Acoustic Set)","March 6, 2010",2010,I Am The Agent,Queens Wharf Brewery,Newcastle,
"Sep 12th – Hamliton Station Hotel, Newcastle w/Run Squirrel & Echoes","March 6, 2010",2010,I Am The Agent,Hamilton Station Hotel,Newcastle,
"February 8th – The Chilli Lounge, Wyong w/Homeless Yellow","March 6, 2010",2010,I Am The Agent,Chilli Lounge,Central Coast,
"June 10th – Bacardi Band Search (Heat #4), vs Team, Sabretung, Origin of Janken","March 6, 2010",2010,I Am The Agent,Cambridge Hotel,Newcastle,
"May 24th – University of Newcastle Band Comp (Heat #2), vs Dali’s Angels, Local Resident Failure, Lumina, The J-21s","March 6, 2010",2010,I Am The Agent,Bar On The Hill,Newcastle,
"Nov 26th – The Red Bar, Newcastle w/ Long Island Sound and 1929Indian","November 26, 2010",2010,I Am The Agent,Red Bar,Newcastle,
"March 6th – The Chilli Lounge, Wyong w/Spread The Ashes, Vamp, Stop The Dream, Ruins of an Empire","March 6, 2010",2010,I Am The Agent,Chilli Lounge,Central Coast,
May 25th – Bar On The Hill,"May 25, 2010",2010,I Am The Agent,Bar On The Hill,Newcastle,
"Sep 3rd – Bacardi Band Search (GRAND FINAL WINNERS), vs The Owls and Allay The Sea","March 6, 2010",2010,I Am The Agent,Cambridge Hotel,Newcastle,
"May 21st – The Lass O’Gowrie, Newcastle w/Motherlode, Heart Attack & Vine","March 6, 2010",2010,I Am The Agent,The Lass O'Gowrie Hotel,Newcastle,
"January 9th – The Chilli Lounge, Wyong w/Phobiac & Wandering Bear (aka Long Island Sound)","January 9, 2010",2010,I Am The Agent,Chilli Lounge,Central Coast,
"June 25th – The Croatian Club, Wickham","March 6, 2010",2010,I Am The Agent,Croatian Club,Newcastle,
"July 16th – The Chilli Lounge, Wyong w/Found At Sea","March 6, 2010",2010,I Am The Agent,Chilli Lounge,Central Coast,
"Dec 10th – The Cambridge Hotel, Newcastle w/Calling All Cars","December 10, 2010",2010,I Am The Agent,Cambridge Hotel,Newcastle,
"August 29th – The Chilli Lounge, Wyong w/duckPuppy & Wesley Snipers","August 29, 2009",2009,I Am The Agent,Chilli Lounge,Central Coast,
"September 11th- The Chilli Lounge, Wyong","September 11, 2009",2009,I Am The Agent,Chilli Lounge,Central Coast,
"November 27th – The Chilli Lounge, Wyong w/Crash Tragic","November 27, 2009",2009,I Am The Agent,Chilli Lounge,Central Coast,
"September 17th – Beachcomber Hotel, Toukley","August 29, 2009",2009,I Am The Agent,Beachcomber Hotel,Central Coast,
"October 28th – The Cambridge Hotel, Newcastle w/Found at Sea & The Shivering Indies","October 28, 2009",2009,I Am The Agent,Cambridge Hotel,Newcastle,
"November 28th – Blush Nightclub, Gosford","November 28, 2009",2009,I Am The Agent,Blush Nightclub,Central Coast,
